direction,seed,split_seed,shot_k,alpha,distance,file_acc,macro_f1
rx1_to_rx2,2,0,5,0.25,cosine,0.625,0.5277777777777777
rx1_to_rx2,2,0,5,0.5,cosine,0.3333333333333333,0.19999999999999998
rx1_to_rx2,2,0,5,0.75,cosine,0.2916666666666667,0.18055555555555555
rx1_to_rx2,2,0,5,1.0,cosine,0.25,0.16319444444444442
rx1_to_rx2,2,0,10,0.0,cosine,0.75,0.7013888888888888
rx1_to_rx2,2,0,10,0.25,cosine,0.625,0.5305555555555556
rx1_to_rx2,2,0,10,0.5,cosine,0.3333333333333333,0.2069444444444444
rx1_to_rx2,2,0,10,0.75,cosine,0.2916666666666667,0.18333333333333332
rx1_to_rx2,2,0,10,1.0,cosine,0.25,0.16319444444444442
rx1_to_rx2,2,0,20,0.0,cosine,0.7916666666666666,0.7222222222222222
rx1_to_rx2,2,0,20,0.25,cosine,0.5833333333333334,0.4861111111111111
rx1_to_rx2,2,0,20,0.5,cosine,0.3333333333333333,0.2069444444444444
rx1_to_rx2,2,0,20,0.75,cosine,0.2916666666666667,0.18333333333333332
rx1_to_rx2,2,0,20,1.0,cosine,0.25,0.16319444444444442
rx1_to_rx2,2,1,1,0.0,cosine,0.5416666666666666,0.45634920634920634
rx1_to_rx2,2,1,1,0.25,cosine,0.4583333333333333,0.3736111111111111
rx1_to_rx2,2,1,1,0.5,cosine,0.375,0.2666666666666666
rx1_to_rx2,2,1,1,0.75,cosine,0.25,0.1550925925925926
rx1_to_rx2,2,1,1,1.0,cosine,0.25,0.12648809523809523
rx1_to_rx2,2,1,3,0.0,cosine,0.6666666666666666,0.5763888888888888
rx1_to_rx2,2,1,3,0.25,cosine,0.625,0.548611111111111
rx1_to_rx2,2,1,3,0.5,cosine,0.3333333333333333,0.19999999999999998
rx1_to_rx2,2,1,3,0.75,cosine,0.25,0.13888888888888887
rx1_to_rx2,2,1,3,1.0,cosine,0.25,0.12648809523809523
rx1_to_rx2,2,1,5,0.0,cosine,0.6666666666666666,0.6
rx1_to_rx2,2,1,5,0.25,cosine,0.6666666666666666,0.5833333333333334
rx1_to_rx2,2,1,5,0.5,cosine,0.3333333333333333,0.20416666666666664
