receiver,model,seed,condition,accuracy,macro_f1,n_eval
b210_2,B1-OOB,2,neutral,0.1625,0.10202621685392048,2000
b210_2,B1-OOB,2,left_scale_0.5,0.1,0.01818181818173554,2000
b210_2,B1-OOB,2,right_scale_0.5,0.3855,0.2866366356996314,2000
b210_2,B1-OOB,3,clean,0.531,0.498930693716524,2000
b210_2,B1-OOB,3,scale_0.5,0.1,0.01818181818173554,2000
b210_2,B1-OOB,3,scale_0.70710678,0.1,0.01850994909755433,2000
b210_2,B1-OOB,3,scale_1.41421356,0.002,0.0010234191590344998,2000
b210_2,B1-OOB,3,scale_2.0,0.1,0.018190086402827696,2000
b210_2,B1-OOB,3,shuffle,0.1135,0.09774583944465015,2000
b210_2,B1-OOB,3,neutral,0.136,0.07142800787020923,2000
b210_2,B1-OOB,3,left_scale_0.5,0.1,0.018190086402827696,2000
b210_2,B1-OOB,3,right_scale_0.5,0.401,0.36173103037436,2000
b210_2,B1-OOB,4,clean,0.661,0.6213053933029984,2000
b210_2,B1-OOB,4,scale_0.5,0.1,0.01828989483302108,2000
b210_2,B1-OOB,4,scale_0.70710678,0.1,0.018674136321107964,2000
b210_2,B1-OOB,4,scale_1.41421356,0.1565,0.07252363046810086,2000
b210_2,B1-OOB,4,scale_2.0,0.1095,0.03401263217674137,2000
b210_2,B1-OOB,4,shuffle,0.11,0.09703878173199357,2000
b210_2,B1-OOB,4,neutral,0.1635,0.09091657438632933,2000
b210_2,B1-OOB,4,left_scale_0.5,0.1,0.01828989483302108,2000
b210_2,B1-OOB,4,right_scale_0.5,0.3175,0.23764898525988282,2000
b210_2,C'-OOB,0,clean,0.9055,0.8948548522132216,2000
b210_2,C'-OOB,0,scale_0.5,0.245,0.13128148690045835,2000
b210_2,C'-OOB,0,scale_0.70710678,0.299,0.18110299180674336,2000
b210_2,C'-OOB,0,scale_1.41421356,0.257,0.19925770714916707,2000
b210_2,C'-OOB,0,scale_2.0,0.173,0.09279590670142202,2000
b210_2,C'-OOB,0,shuffle,0.075,0.07021968601998567,2000
b210_2,C'-OOB,0,neutral,0.196,0.07962036288532715,2000
b210_2,C'-OOB,0,left_scale_0.5,0.1805,0.12636269323306942,2000
b210_2,C'-OOB,0,right_scale_0.5,0.9105,0.9013299785739077,2000
b210_2,C'-OOB,1,clean,0.9055,0.9026533717850953,2000
b210_2,C'-OOB,1,scale_0.5,0.218,0.11891454802772176,2000
b210_2,C'-OOB,1,scale_0.70710678,0.376,0.25785505219401733,2000
b210_2,C'-OOB,1,scale_1.41421356,0.355,0.22494667790896394,2000
b210_2,C'-OOB,1,scale_2.0,0.177,0.12228308443050695,2000
b210_2,C'-OOB,1,shuffle,0.0995,0.09591693050159474,2000
b210_2,C'-OOB,1,neutral,0.2205,0.12757466372104237,2000
b210_2,C'-OOB,1,left_scale_0.5,0.175,0.07315940260483308,2000
b210_2,C'-OOB,1,right_scale_0.5,0.938,0.9370857314404841,2000
b210_2,C'-OOB,2,clean,0.899,0.8945158656528548,2000
b210_2,C'-OOB,2,scale_0.5,0.167,0.0842964672466612,2000
b210_2,C'-OOB,2,scale_0.70710678,0.294,0.20065337903920494,2000
b210_2,C'-OOB,2,scale_1.41421356,0.2875,0.19854271472564172,2000
b210_2,C'-OOB,2,scale_2.0,0.1865,0.07879072371445264,2000
b210_2,C'-OOB,2,shuffle,0.1535,0.15925934410797346,2000
b210_2,C'-OOB,2,neutral,0.3135,0.19749766314299802,2000
b210_2,C'-OOB,2,left_scale_0.5,0.166,0.08434418498657426,2000
b210_2,C'-OOB,2,right_scale_0.5,0.893,0.8882672445253241,2000
